Name,Sex,Age,Pclass,Fate
Mr. James Flynn,Male,18-30,3rd Class,Died
Mr. Berk (Berk Trembisky) Pickard,Male,31-60,3rd Class,Survived
Mr. Mauritz Hakan Bjornstrom-Steffansson,Male,18-30,1st Class,Survived
Mrs. Percival (Florence Kate White) Thorneycroft,Female,31-60,3rd Class,Survived
Mrs. Charles Alexander (Alice Adelaide Slow) Louch,Female,31-60,2nd Class,Survived
Mr. Nikolai Erland Kallio,Male,17 & Below,3rd Class,Died
Mr. William Baird Silvey,Male,31-60,1st Class,Died
Miss. Lucile Polk Carter,Female,17 & Below,1st Class,Survived
Miss. Doolina Margaret Ford,Female,18-30,3rd Class,Died
Mrs. Sidney (Emily Hocking) Richards,Female,18-30,2nd Class,Survived
Mr. Mark Fortune,Male,60 Above,1st Class,Died
Mr. Johan Henrik Johannesson Kvillner,Male,31-60,2nd Class,Died
Mrs. Benjamin (Esther Ada Bloomfield) Hart,Female,31-60,2nd Class,Survived
Mr. Leon Hampe,Male,18-30,3rd Class,Died
Mr. Johan Emil Petterson,Male,18-30,3rd Class,Died
Ms. Encarnacion Reynaldo,Female,18-30,2nd Class,Survived
Mr. Bernt Johannesen-Bratthammer,Male,18-30,3rd Class,Survived
Master. Washington Dodge,Male,17 & Below,1st Class,Survived
Miss. Madeleine Violet Mellinger,Female,17 & Below,2nd Class,Survived
Mr. Frederic Kimber Seward,Male,31-60,1st Class,Survived
Miss. Marie Catherine Baclini,Female,17 & Below,3rd Class,Survived
Major. Arthur Godfrey Peuchen,Male,31-60,1st Class,Survived
Mr. Edwy Arthur West,Male,31-60,2nd Class,Died
Mr. Ingvald Olai Olsen Hagland,Male,18-30,3rd Class,Died
Mr. Benjamin Laventall Foreman,Male,18-30,1st Class,Died
Mr. Samuel L Goldenberg,Male,31-60,1st Class,Survived
Mr. Joseph Peduzzi,Male,18-30,3rd Class,Died
Mr. Ivan Jalsevac,Male,18-30,3rd Class,Survived
Mr. Francis Davis Millet,Male,60 Above,1st Class,Died
Mrs. Frederick R (Marion) Kenyon,Female,31-60,1st Class,Survived
Miss. Ellen Toomey,Female,31-60,2nd Class,Survived
Mr. Maurice O'Connor,Male,17 & Below,3rd Class,Died
Mr. Harry Anderson,Male,31-60,1st Class,Survived
Mr. William Morley,Male,31-60,3rd Class,Died
Mr. Arthur H Gee,Male,31-60,1st Class,Died
Mr. Jacob Christian Milling,Male,31-60,2nd Class,Died
Mr. Simon Maisner,Male,31-60,3rd Class,Died
Mr. Manuel Estanslas Goncalves,Male,31-60,3rd Class,Died
Mr. William Campbell,Male,18-30,2nd Class,Died
Mr. John Montgomery Smart,Male,31-60,1st Class,Died
Mr. James Scanlan,Male,18-30,3rd Class,Died
Miss. Helene Barbara Baclini,Female,17 & Below,3rd Class,Survived
Mr. Arthur Keefe,Male,31-60,3rd Class,Died
Mr. Luka Cacic,Male,31-60,3rd Class,Died
Mrs. Edwy Arthur (Ada Mary Worth) West,Female,31-60,2nd Class,Survived
Mrs. Amin S (Marie Marthe Thuillard) Jerwan,Female,18-30,2nd Class,Survived
Miss. Ida Sofia Strandberg,Female,18-30,3rd Class,Died
Mr. George Quincy Clifford,Male,31-60,1st Class,Died
Mr. Peter Henry Renouf,Male,31-60,2nd Class,Died
Mr. Lewis Richard Braund,Male,18-30,3rd Class,Died
Mr. Nils August Karlsson,Male,18-30,3rd Class,Died
Miss. Hildur E Hirvonen,Female,17 & Below,3rd Class,Survived
Master. Harold Victor Goodwin,Male,17 & Below,3rd Class,Died
Mr. Anthony Wood Frost,Male,31-60,2nd Class,Died
Mr. Richard Henry Rouse,Male,31-60,3rd Class,Died
Mrs. (Hedwig) Turkula,Female,60 Above,3rd Class,Survived
Mr. Dickinson H Bishop,Male,18-30,1st Class,Survived
Miss. Jeannie Lefebre,Female,17 & Below,3rd Class,Died
Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,Female,31-60,1st Class,Survived
Mr. Edward Austin Kent,Male,31-60,1st Class,Died
Mr. Francis William Somerton,Male,18-30,3rd Class,Died
Master. Eden Leslie Coutts,Male,17 & Below,3rd Class,Survived
Mr. Konrad Mathias Reiersen Hagland,Male,18-30,3rd Class,Died
Mr. Einar Windelov,Male,18-30,3rd Class,Died
Mr. Harry Markland Molson,Male,31-60,1st Class,Died
Mr. Ramon Artagaveytia,Male,60 Above,1st Class,Died
Mr. Edward Roland Stanley,Male,18-30,3rd Class,Died
Mr. Gerious Yousseff,Male,18-30,3rd Class,Died
Miss. Elizabeth Mussey Eustis,Female,31-60,1st Class,Survived
Mr. Frederick William Shellard,Male,31-60,3rd Class,Died
Mrs. Hudson J C (Bessie Waldo Daniels) Allison,Female,18-30,1st Class,Died
Mr. Olof Svensson,Male,18-30,3rd Class,Died
Mr. Petar Calic,Male,17 & Below,3rd Class,Died
Miss. Mary Canavan,Female,18-30,3rd Class,Died
Miss. Bridget Mary O'Sullivan,Female,18-30,3rd Class,Died
Miss. Kristina Sofia Laitinen,Female,31-60,3rd Class,Died
Miss. Roberta Maioni,Female,17 & Below,1st Class,Survived
Mr. Victor de Satode Penasco y Castellana,Male,18-30,1st Class,Died
Mrs. Frederick Charles (Jane Richards) Quick,Female,31-60,2nd Class,Survived
Mr. George Bradley,Male,31-60,1st Class,Survived
Mr. Henry Margido Olsen,Male,18-30,3rd Class,Died
Mr. Fang Lang,Male,18-30,3rd Class,Survived
Mr. Eugene Patrick Daly,Male,18-30,3rd Class,Survived
Mr. James Webber,Male,60 Above,3rd Class,Died
Mr. James Robert McGough,Male,31-60,1st Class,Survived
Mrs. Martin (Elizabeth L. Barrett) Rothschild,Female,31-60,1st Class,Survived
Mr. Satio Coleff,Male,18-30,3rd Class,Died
Mr. William Anderson Walker,Male,31-60,1st Class,Died
Mrs. (Amelia Milley) Lemore,Female,31-60,2nd Class,Survived
Mr. Patrick Ryan,Male,18-30,3rd Class,Died
Mrs. William A (Florence Agnes Hughes) Angle,Female,31-60,2nd Class,Survived
Mr. Stefo Pavlovic,Male,31-60,3rd Class,Died
Miss. Anne Perreault,Female,18-30,1st Class,Survived
Mr. Janko Vovk,Male,18-30,3rd Class,Died
Mr. Sarkis Lahoud,Male,31-60,3rd Class,Died
Mrs. Louis Albert (Ida Sophia Fischer) Hippach,Female,31-60,1st Class,Survived
Mr. Fared Kassem,Male,18-30,3rd Class,Died
Mr. James Farrell,Male,31-60,3rd Class,Died
Miss. Lucy Ridsdale,Female,31-60,2nd Class,Survived
Mr. John Farthing,Male,31-60,1st Class,Died
Mr. Johan Werner Salonen,Male,31-60,3rd Class,Died
Mr. Richard George Hocking,Male,18-30,2nd Class,Died
Miss. Phyllis May Quick,Female,17 & Below,2nd Class,Survived
Mr. Nakli Toufik,Male,17 & Below,3rd Class,Died
Mr. Joseph Jr Elias,Male,17 & Below,3rd Class,Died
Mrs. Catherine (Catherine Rizk) Peter,Female,18-30,3rd Class,Survived
Miss. Marija Cacic,Female,18-30,3rd Class,Died
Miss. Eva Miriam Hart,Female,17 & Below,2nd Class,Survived
Major. Archibald Willingham Butt,Male,31-60,1st Class,Died
Miss. Bertha LeRoy,Female,18-30,1st Class,Survived
Mr. Samuel Beard Risien,Male,60 Above,3rd Class,Died
Miss. Hedwig Margaritha Frolicher,Female,18-30,1st Class,Survived
Miss. Harriet R Crosby,Female,31-60,1st Class,Survived
Miss. Ingeborg Constanzia Andersson,Female,17 & Below,3rd Class,Died
Miss. Sigrid Elisabeth Andersson,Female,17 & Below,3rd Class,Died
Mr. Edward Beane,Male,31-60,2nd Class,Survived
Mr. Walter Donald Douglas,Male,31-60,1st Class,Died
Mr. Arthur Ernest Nicholson,Male,60 Above,1st Class,Died
Mrs. Edward (Ethel Clarke) Beane,Female,18-30,2nd Class,Survived
Mr. Julian Padro y Manent,Male,18-30,2nd Class,Survived
Mr. Frank John Goldsmith,Male,31-60,3rd Class,Died
Master. John Morgan Jr Davies,Male,17 & Below,2nd Class,Survived
Mr. John Borland Jr Thayer,Male,17 & Below,1st Class,Survived
Mr. Percival James R Sharp,Male,18-30,2nd Class,Died
Mr. Timothy O'Brien,Male,18-30,3rd Class,Died
Mr. Fahim Leeni,Male,18-30,3rd Class,Survived
Miss. Velin Ohman,Female,18-30,3rd Class,Survived
Mr. George Wright,Male,60 Above,1st Class,Died
Lady. (Lucille Christiana Sutherland)Duff Gordon,Female,31-60,1st Class,Survived
Mr. Victor Robbins,Male,31-60,1st Class,Died
Mrs. Emil (Tillie Mandelbaum) Taussig,Female,31-60,1st Class,Survived
Mrs. Guillaume Joseph (Emma) de Messemaeker,Female,31-60,3rd Class,Survived
Mr. Thomas Rowan Morrow,Male,18-30,3rd Class,Died
Mr. Husein Sivic,Male,31-60,3rd Class,Died
Mr. Robert Douglas Norman,Male,18-30,2nd Class,Died
Mr. John Simmons,Male,31-60,3rd Class,Died
Miss. (Marion Ogden) Meanwell,Female,60 Above,3rd Class,Died
Mr. Alfred J Davies,Male,18-30,3rd Class,Died
Mr. Ilia Stoytcheff,Male,18-30,3rd Class,Died
Mrs. Nils (Alma Cornelia Berglund) Palsson,Female,18-30,3rd Class,Died
Mr. Tannous Doharr,Male,18-30,3rd Class,Died
Mr. Carl Jonsson,Male,31-60,3rd Class,Survived
Mr. George Harris,Male,60 Above,2nd Class,Survived
Mrs. Edward Dale (Charlotte Lamson) Appleton,Female,31-60,1st Class,Survived
Mr. John Irwin Flynn,Male,31-60,1st Class,Survived
Miss. Mary Kelly,Female,18-30,3rd Class,Survived
Mr. Alfred George John Rush,Male,17 & Below,3rd Class,Died
Mr. George Patchett,Male,18-30,3rd Class,Died
Miss. Ethel Garside,Female,31-60,2nd Class,Survived
Mrs. William Baird (Alice Munger) Silvey,Female,31-60,1st Class,Survived
Mrs. Joseph (Maria Elias) Caram,Female,18-30,3rd Class,Died
Mr. Eiriik Jussila,Male,31-60,3rd Class,Survived
Miss. Julie Rachel Christy,Female,18-30,2nd Class,Survived
Mrs. John Borland (Marian Longstreth Morris) Thayer,Female,31-60,1st Class,Survived
Mr. William James Downton,Male,31-60,2nd Class,Died
Mr. John Hugo Ross,Male,31-60,1st Class,Died
Mr. Uscher Paulner,Male,17 & Below,3rd Class,Died
Miss. Ruth Taussig,Female,18-30,1st Class,Survived
Mr. John Denzil Jarvis,Male,31-60,2nd Class,Died
Mr. Maxmillian Frolicher-Stehli,Male,31-60,1st Class,Survived
Mr. Eliezer Gilinski,Male,18-30,3rd Class,Died
Mr. Joseph Murdlin,Male,18-30,3rd Class,Died
Mr. Matti Rintamaki,Male,31-60,3rd Class,Died
Mrs. Walter Bertram (Martha Eustis) Stephenson,Female,31-60,1st Class,Survived
Mr. William James Elsbury,Male,31-60,3rd Class,Died
Miss. Mary Bourke,Female,31-60,3rd Class,Died
Mr. John Henry Chapman,Male,31-60,2nd Class,Died
Mr. Jean Baptiste Van Impe,Male,31-60,3rd Class,Died
Miss. Jessie Wills Leitch,Female,31-60,2nd Class,Survived
Mr. Alfred Johnson,Male,31-60,3rd Class,Died
Mr. Hanna Boulos,Male,18-30,3rd Class,Died
Sir. Cosmo Edmund Duff Gordon,Male,31-60,1st Class,Survived
Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,Female,18-30,2nd Class,Survived
Mr. Petco Slabenoff,Male,31-60,3rd Class,Died
Mr. Charles H Harrington,Male,31-60,1st Class,Died
Mr. Ernst William Torber,Male,31-60,3rd Class,Died
Mr. Harry Homer,Male,31-60,1st Class,Survived
Mr. Edvard Bengtsson Lindell,Male,31-60,3rd Class,Died
Mr. Milan Karaic,Male,18-30,3rd Class,Died
Mr. Robert Williams Daniel,Male,18-30,1st Class,Survived
Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,Female,18-30,2nd Class,Survived
Miss. Elizabeth W Shutes,Female,31-60,1st Class,Survived
Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,Female,31-60,3rd Class,Died
Mr. Jose Neto Jardin,Male,18-30,3rd Class,Died
Miss. Margaret Jane Murphy,Female,18-30,3rd Class,Survived
Mr. John Horgan,Male,18-30,3rd Class,Died
Mr. William Alfred Brocklebank,Male,31-60,3rd Class,Died
Miss. Alice Herman,Female,18-30,2nd Class,Survived
Mr. Ernst Gilbert Danbom,Male,31-60,3rd Class,Died
Mrs. William Arthur (Cordelia K Stanlick) Lobb,Female,18-30,3rd Class,Died
Miss. Marion Louise Becker,Female,17 & Below,2nd Class,Survived
Mr. Lawrence Gavey,Male,18-30,2nd Class,Died
Mr. Antoni Yasbeck,Male,18-30,3rd Class,Died
Mr. Edwin Nelson Jr Kimball,Male,31-60,1st Class,Survived
Mr. Sahid Nakid,Male,18-30,3rd Class,Survived
Mr. Henry Damsgaard Hansen,Male,18-30,3rd Class,Died
Mr. David John Bowen,Male,18-30,3rd Class,Died
Mr. Frederick Sutton,Male,60 Above,1st Class,Died
Rev. Charles Leonard Kirkland,Male,31-60,2nd Class,Died
Miss. Gretchen Fiske Longley,Female,18-30,1st Class,Survived
Mr. Guentcho Bostandyeff,Male,18-30,3rd Class,Died
Mr. Patrick D O'Connell,Male,18-30,3rd Class,Died
Mr. Algernon Henry Wilson Barkworth,Male,60 Above,1st Class,Survived
Mr. Johan Svensson Lundahl,Male,31-60,3rd Class,Died
Dr. Max Stahelin-Maeglin,Male,31-60,1st Class,Survived
Mr. William Henry Marsh Parr,Male,18-30,1st Class,Died
Miss. Mabel Skoog,Female,17 & Below,3rd Class,Died
Miss. Mary Davis,Female,18-30,2nd Class,Survived
Mr. Antti Gustaf Leinonen,Male,31-60,3rd Class,Died
Mr. Harvey Collyer,Male,31-60,2nd Class,Died
Mrs. Juha (Maria Emilia Ojala) Panula,Female,31-60,3rd Class,Died
Mr. Percival Thorneycroft,Male,31-60,3rd Class,Died
Mr. Hans Peder Jensen,Male,18-30,3rd Class,Died
Mlle. Emma Sagesser,Female,18-30,1st Class,Survived
Miss. Margit Elizabeth Skoog,Female,17 & Below,3rd Class,Died
Mr. Choong Foo,Male,31-60,3rd Class,Survived
Miss. Eugenie Baclini,Female,17 & Below,3rd Class,Survived
Mr. Henry Sleeper Harper,Male,31-60,1st Class,Survived
Mr. Liudevit Cor,Male,18-30,3rd Class,Died
Col. Oberst Alfons Simonius-Blumer,Male,31-60,1st Class,Survived
Mr. Edward Willey,Male,18-30,3rd Class,Died
Miss. Amy Zillah Elsie Stanley,Female,18-30,3rd Class,Survived
Mr. Mito Mitkoff,Male,18-30,3rd Class,Died
Miss. Elsie Doling,Female,18-30,2nd Class,Survived
Mr. Johannes Halvorsen Kalvik,Male,18-30,3rd Class,Died
Miss. Hanora O'Leary,Female,17 & Below,3rd Class,Survived
Miss. Hanora Hegarty,Female,18-30,3rd Class,Died
Mr. Leonard Mark Hickman,Male,18-30,2nd Class,Died
Mr. Alexander Radeff,Male,18-30,3rd Class,Died
Mrs. John (Catherine) Bourke,Female,31-60,3rd Class,Died
Mr. George Floyd Eitemiller,Male,18-30,2nd Class,Died
Mr. Arthur Webster Newell,Male,31-60,1st Class,Died
Dr. Henry William Frauenthal,Male,31-60,1st Class,Survived
Mr. Mohamed Badt,Male,31-60,3rd Class,Died
Mr. Edward Pomeroy Colley,Male,31-60,1st Class,Died
Mr. Peju Coleff,Male,31-60,3rd Class,Died
Mr. Eino William Lindqvist,Male,18-30,3rd Class,Survived
Mr. Lewis Hickman,Male,31-60,2nd Class,Died
Mr. Reginald Fenton Butler,Male,18-30,2nd Class,Died
Mr. Knud Paust Rommetvedt,Male,31-60,3rd Class,Died
Mr. Jacob Cook,Male,31-60,3rd Class,Died
Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,Female,31-60,1st Class,Survived
Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,Female,31-60,2nd Class,Survived
Mr. Thornton Davidson,Male,31-60,1st Class,Died
Mr. Henry Michael Mitchell,Male,60 Above,2nd Class,Died
Mr. Charles Wilhelms,Male,31-60,2nd Class,Survived
Mr. Ennis Hastings Watson,Male,18-30,2nd Class,Died
Mr. Gustaf Hjalmar Edvardsson,Male,18-30,3rd Class,Died
Mr. Frederick Charles Sawyer,Male,18-30,3rd Class,Died
Miss. Anna Sofia Turja,Female,18-30,3rd Class,Survived
Mrs. Frederick (Augusta Tyler) Goodwin,Female,31-60,3rd Class,Died
Mr. Thomas Drake Martinez Cardeza,Male,31-60,1st Class,Survived
Miss. Katie Peters,Female,18-30,3rd Class,Died
Mr. Hammad Hassab,Male,18-30,1st Class,Survived
Mr. Thor Anderson Olsvigen,Male,18-30,3rd Class,Died
Mr. Charles Edward Goodwin,Male,17 & Below,3rd Class,Died
Mr. Thomas William Solomon Brown,Male,31-60,2nd Class,Died
Mr. Joseph Philippe Lemercier Laroche,Male,18-30,2nd Class,Died
Mr. Jaako Arnold Panula,Male,17 & Below,3rd Class,Died
Mr. Branko Dakic,Male,18-30,3rd Class,Died
Mr. Eberhard Thelander Fischer,Male,18-30,3rd Class,Died
Miss. Georgette Alexandra Madill,Female,17 & Below,1st Class,Survived
Mr. Albert Adrian Dick,Male,31-60,1st Class,Survived
Miss. Manca Karun,Female,17 & Below,3rd Class,Survived
Mr. Ali Lam,Male,31-60,3rd Class,Survived
Mr. Khalil Saad,Male,18-30,3rd Class,Died
Col. John Weir,Male,31-60,1st Class,Died
Mr. Charles Henry Chapman,Male,31-60,2nd Class,Died
Mr. James Kelly,Male,31-60,3rd Class,Died
Miss. Katherine Mullens,Female,18-30,3rd Class,Survived
Mr. John Borland Thayer,Male,31-60,1st Class,Died
Mr. Adolf Mathias Nicolai Olsen Humblen,Male,31-60,3rd Class,Died
Mrs. John Jacob (Madeleine Talmadge Force) Astor,Female,18-30,1st Class,Survived
Mr. Spencer Victor Silverthorne,Male,31-60,1st Class,Survived
Miss. Saiide Barbara,Female,18-30,3rd Class,Died
Mr. Martin Gallagher,Male,18-30,3rd Class,Died
Mr. Henrik Juul Hansen,Male,18-30,3rd Class,Died
Mr. Henry Samuel Morley,Male,31-60,2nd Class,Died
Mrs. Florence Kelly,Female,31-60,2nd Class,Survived
Mr. Edward Pennington Calderhead,Male,31-60,1st Class,Survived
Miss. Alice Cleaver,Female,18-30,1st Class,Survived
Master. Halim Gonios Moubarek,Male,17 & Below,3rd Class,Survived
Mlle. Berthe Antonine Mayne,Female,18-30,1st Class,Survived
Mr. Herman Klaber,Male,31-60,1st Class,Died
Mr. Elmer Zebley Taylor,Male,31-60,1st Class,Survived
Mr. August Viktor Larsson,Male,18-30,3rd Class,Died
Mr. Samuel Greenberg,Male,31-60,2nd Class,Died
Mr. Peter Andreas Lauritz Andersen Soholt,Male,18-30,3rd Class,Died
Miss. Caroline Louise Endres,Female,31-60,1st Class,Survived
Miss. Edwina Celia Troutt,Female,18-30,2nd Class,Survived
Mr. Malkolm Joackim Johnson,Male,31-60,3rd Class,Died
Miss. Annie Jessie Harper,Female,17 & Below,2nd Class,Survived
Mr. Svend Lauritz Jensen,Male,17 & Below,3rd Class,Died
Mr. William Henry Gillespie,Male,31-60,2nd Class,Died
Mr. Henry Price Hodges,Male,31-60,2nd Class,Died
Mr. Norman Campbell Chambers,Male,18-30,1st Class,Survived
Mr. Luka Oreskovic,Male,18-30,3rd Class,Died
Mrs. Peter Henry (Lillian Jefferys) Renouf,Female,18-30,2nd Class,Survived
Miss. Margareth Mannion,Female,18-30,3rd Class,Survived
Mr. Kurt Arnold Gottfrid Bryhl,Male,18-30,2nd Class,Died
Miss. Pieta Sofia Ilmakangas,Female,18-30,3rd Class,Died
Miss. Elisabeth Walton Allen,Female,18-30,1st Class,Survived
Mr. Houssein G N Hassan,Male,17 & Below,3rd Class,Died
Mr. Robert J Knight,Male,31-60,2nd Class,Died
Mr. William John Berriman,Male,18-30,2nd Class,Died
Mr. Moses Aaron Troupiansky,Male,18-30,2nd Class,Died
Mr. Leslie Williams,Male,18-30,3rd Class,Died
Mrs. Edward (Margaret Ann Watson) Ford,Female,31-60,3rd Class,Died
Mr. Gustave J Lesurer,Male,31-60,1st Class,Survived
Mr. Kanio Ivanoff,Male,18-30,3rd Class,Died
Mr. Minko Nankoff,Male,31-60,3rd Class,Died
Mr. Walter James Hawksford,Male,31-60,1st Class,Survived
Mr. Tyrell William Cavendish,Male,31-60,1st Class,Died
Miss. Susan Parker Ryerson,Female,18-30,1st Class,Survived
Mr. Neal McNamee,Male,18-30,3rd Class,Died
Mr. Juho Stranden,Male,31-60,3rd Class,Survived
Capt. Edward Gifford Crosby,Male,60 Above,1st Class,Died
Mr. Rossmore Edward Abbott,Male,17 & Below,3rd Class,Died
Miss. Anna Sinkkonen,Female,18-30,2nd Class,Survived
Mr. Daniel Warner Marvin,Male,18-30,1st Class,Died
Mr. Michael Connaghton,Male,31-60,3rd Class,Died
Miss. Joan Wells,Female,17 & Below,2nd Class,Survived
Master. Meier Moor,Male,17 & Below,3rd Class,Survived
Mr. Johannes Joseph Vande Velde,Male,31-60,3rd Class,Died
Mr. Lalio Jonkoff,Male,18-30,3rd Class,Died
Mrs. Samuel (Jane Laver) Herman,Female,31-60,2nd Class,Survived
Master. Viljo Hamalainen,Male,17 & Below,2nd Class,Survived
Mr. August Sigfrid Carlsson,Male,18-30,3rd Class,Died
Mr. Percy Andrew Bailey,Male,18-30,2nd Class,Died
Mr. Thomas Leonard Theobald,Male,31-60,3rd Class,Died
the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,Female,31-60,1st Class,Survived
Mr. John Garfirth,Male,18-30,3rd Class,Died
Mr. Iisakki Antino Aijo Nirva,Male,31-60,3rd Class,Died
Mr. Hanna Assi Barah,Male,18-30,3rd Class,Survived
Mrs. William Ernest (Lucile Polk) Carter,Female,31-60,1st Class,Survived
Mr. Hans Linus Eklund,Male,17 & Below,3rd Class,Died
Mrs. John C (Anna Andrews) Hogeboom,Female,31-60,1st Class,Survived
Dr. Arthur Jackson Brewe,Male,31-60,1st Class,Died
Miss. Mary Mangan,Female,31-60,3rd Class,Died
Mr. Daniel J Moran,Male,18-30,3rd Class,Died
Mr. Daniel Danielsen Gronnestad,Male,31-60,3rd Class,Died
Mr. Rene Aime Lievens,Male,18-30,3rd Class,Died
Mr. Niels Peder Jensen,Male,31-60,3rd Class,Died
Mrs. (Mary) Mack,Female,31-60,2nd Class,Died
Mr. Dibo Elias,Male,18-30,3rd Class,Died
Mrs. Elizabeth (Eliza Needs) Hocking,Female,31-60,2nd Class,Survived
Mr. Pehr Fabian Oliver Malkolm Myhrman,Male,18-30,3rd Class,Died
Mr. Roger Tobin,Male,18-30,3rd Class,Died
Miss. Virginia Ethel Emanuel,Female,17 & Below,3rd Class,Survived
Mr. Thomas J Kilgannon,Male,18-30,3rd Class,Died
Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,Female,31-60,1st Class,Survived
Miss. Banoura Ayoub,Female,17 & Below,3rd Class,Survived
Mrs. Albert Adrian (Vera Gillespie) Dick,Female,17 & Below,1st Class,Survived
Mr. Milton Clyde Long,Male,18-30,1st Class,Died
Mr. Andrew G Johnston,Male,31-60,3rd Class,Died
Mr. William Ali,Male,18-30,3rd Class,Died
Mr. Abraham (David Lishin) Harmer,Male,18-30,3rd Class,Died
Miss. Anna Sofia Sjoblom,Female,18-30,3rd Class,Survived
Master. George Hugh Rice,Male,17 & Below,3rd Class,Died
Master. Bertram Vere Dean,Male,17 & Below,3rd Class,Survived
Mr. Benjamin Guggenheim,Male,31-60,1st Class,Died
Mr. Andrew Keane,Male,18-30,3rd Class,Died
Mr. Alfred Gaskell,Male,17 & Below,2nd Class,Died
Miss. Stella Anna Sage,Female,18-30,3rd Class,Died
Mr. William Fisher Hoyt,Male,31-60,1st Class,Died
Mr. Ristiu Dantcheff,Male,18-30,3rd Class,Died
Mr. Richard Otter,Male,31-60,2nd Class,Died
Dr. Alice (Farnham) Leader,Female,31-60,1st Class,Survived
Mrs. Mara Osman,Female,31-60,3rd Class,Survived
Mr. Yousseff Ibrahim Shawah,Male,18-30,3rd Class,Died
Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,Female,18-30,3rd Class,Died
Mr. Martin Ponesell,Male,31-60,2nd Class,Died
Mrs. Harvey (Charlotte Annie Tate) Collyer,Female,31-60,2nd Class,Survived
Master. William Thornton II Carter,Male,17 & Below,1st Class,Survived
Master. Assad Alexander Thomas,Male,17 & Below,3rd Class,Survived
Mr. Oskar Arvid Hedman,Male,18-30,3rd Class,Survived
Mr. Karl Johan Johansson,Male,31-60,3rd Class,Died
Mr. Thomas Jr Andrews,Male,31-60,1st Class,Died
Miss. Ellen Natalia Pettersson,Female,18-30,3rd Class,Died
Mr. August Meyer,Male,31-60,2nd Class,Died
Mrs. Norman Campbell (Bertha Griggs) Chambers,Female,31-60,1st Class,Survived
Mr. William Alexander,Male,18-30,3rd Class,Died
Mr. James Lester,Male,31-60,3rd Class,Died
Mr. Richard James Slemen,Male,31-60,2nd Class,Died
Miss. Ebba Iris Alfrida Andersson,Female,17 & Below,3rd Class,Died
Mr. Ernest Portage Tomlin,Male,31-60,3rd Class,Died
Mr. Richard Fry,Male,31-60,1st Class,Died
Miss. Wendla Maria Heininen,Female,18-30,3rd Class,Died
Mr. Albert Mallet,Male,31-60,2nd Class,Died
Mr. John Fredrik Alexander Holm,Male,31-60,3rd Class,Died
Master. Karl Thorsten Skoog,Male,17 & Below,3rd Class,Died
Mrs. Charles Melville (Clara Jennings Gregg) Hays,Female,31-60,1st Class,Survived
Mr. Nikola Lulic,Male,18-30,3rd Class,Survived
Jonkheer. John George Reuchlin,Male,31-60,1st Class,Died
Mrs. (Beila) Moor,Female,18-30,3rd Class,Survived
Master. Urho Abraham Panula,Male,17 & Below,3rd Class,Died
Mr. John Flynn,Male,31-60,3rd Class,Died
Mr. Len Lam,Male,18-30,3rd Class,Died
Master. Andre Mallet,Male,17 & Below,2nd Class,Survived
Mr. Thomas Joseph McCormack,Male,18-30,3rd Class,Survived
Mrs. George Nelson (Martha Evelyn) Stone,Female,60 Above,1st Class,Survived
Mrs. Antoni (Selini Alexander) Yasbeck,Female,17 & Below,3rd Class,Survived
Master. George Sibley Richards,Male,17 & Below,2nd Class,Survived
Mr. Amin Saad,Male,18-30,3rd Class,Died
Mr. Albert Augustsson,Male,18-30,3rd Class,Died
Mr. Owen George Allum,Male,18-30,3rd Class,Died
Miss. Sara Rebecca Compton,Female,31-60,1st Class,Survived
Mr. Jakob Pasic,Male,18-30,3rd Class,Died
Mr. Maurice Sirota,Male,18-30,3rd Class,Died
Mr. Chang Chip,Male,31-60,3rd Class,Survived
Mr. Pierre Marechal,Male,18-30,1st Class,Survived
Mr. Ilmari Rudolf Alhomaki,Male,18-30,3rd Class,Died
Mr. Thomas Charles Mudd,Male,17 & Below,2nd Class,Died
Miss. Augusta Serepeca,Female,18-30,1st Class,Survived
Mr. Peter L Lemberopolous,Male,31-60,3rd Class,Died
Mr. Jeso Culumovic,Male,17 & Below,3rd Class,Died
Mr. Anthony Abbing,Male,31-60,3rd Class,Died
Mr. Douglas Bullen Sage,Male,18-30,3rd Class,Died
Mr. Marin Markoff,Male,31-60,3rd Class,Died
Rev. John Harper,Male,18-30,2nd Class,Died
Mrs. Samuel L (Edwiga Grabowska) Goldenberg,Female,31-60,1st Class,Survived
Master. Sigvard Harald Elias Andersson,Male,17 & Below,3rd Class,Died
Mr. Johan Svensson,Male,60 Above,3rd Class,Died
Miss. Nourelain Boulos,Female,17 & Below,3rd Class,Died
Miss. Mary Conover Lines,Female,17 & Below,1st Class,Survived
Mrs. Ernest Courtenay (Lilian Hughes) Carter,Female,31-60,2nd Class,Died
Mrs. Sam (Leah Rosen) Aks,Female,18-30,3rd Class,Survived
Mrs. George Dennick (Mary Hitchcock) Wick,Female,31-60,1st Class,Survived
